Line-number,x-coord,y-coord,width
0,485415.99336598133,-2288143.2578758984,5744.8015641322972
0,485307.75151712087,-2288039.5996276145,5822.1962611956114
0,485202.47320172534,-2287932.9391454984,5909.6614533964585
0,485100.05133576726,-2287823.5014427039,6000.3405121790593
0,485000.25321628054,-2287711.6116921627,6110.9811243474815
0,484902.9454638054,-2287597.5069444003,6250.9568665561101
0,484807.65454344091,-2287481.7437453917,6408.01987891103
0,484713.97924152476,-2287364.6518512974,6565.7672209351913
0,484621.43362665613,-2287246.6369013935,6758.7778692131751
0,484529.75594041252,-2287127.9188709911,6956.6634277458643
0,484438.42294613516,-2287008.9483436863,7143.2341990014156
0,484347.44677400694,-2286889.7089752262,7333.6916978250038
0,484256.8395728803,-2286770.1841302742,7570.4247046320706
0,484166.61347872613,-2286650.3569178171,7842.9664851777543
0,484077.14181388274,-2286529.9751493186,8141.7543037761789
0,483988.79432109708,-2286408.7884954219,8464.0332679910262
0,483901.95670805662,-2286286.5308316224,8776.892602935648
0,483817.01879512047,-2286162.9331502393,9051.5020685685304
0,483735.21727674606,-2286037.3234206527,9240.5293620317934
0,483657.14494678384,-2285909.4325674274,9328.35766474507
0,483582.75869685208,-2285779.3480416047,9301.1725346223357
0,483512.04085935617,-2285647.1145642106,9170.0291599393677
0,483443.9931092448,-2285513.4897075486,8949.2511209441345
0,483378.22685129219,-2285378.7432543249,8660.2730278353592
0,483314.62972132355,-2285242.9393908535,8341.7942130129341
0,483253.05606401269,-2285106.1610938944,8025.7046128221218
0,483192.69088711357,-2284968.8599725142,7748.1582073480195
0,483133.25879593077,-2284831.1561382189,7538.8281357600508
0,483074.63476993155,-2284693.1013255813,7427.0043025651366
0,483016.56311382313,-2284554.8125234079,7397.0092841005089
0,482958.75090047379,-2284416.423846391,7404.6064634558006
0,482901.1037292573,-2284277.9693984818,7424.9263046428769
0,482843.52185129764,-2284139.4852902237,7454.6286322597925
0,482785.04904865898,-2284001.3753168392,7467.6955520691099
0,482725.30994492554,-2283863.8015162679,7463.5999121310733
0,482663.9860055449,-2283726.9322136794,7465.564155998235
0,482600.74689701846,-2283590.9691490708,7474.6611454226613
0,482535.74849748955,-2283455.856319801,7478.5825079568049
