Line-number,x-coord,y-coord,width
0,-152874.73061753341,-2274596.3751877658,71764.532531755322
0,-152725.50592622301,-2274581.9615775193,71889.861894144284
0,-152575.94267838242,-2274570.5738659366,71968.389064689691
0,-152426.2986642769,-2274560.5189296752,71979.136211016492
0,-152276.57548681571,-2274551.7614912861,71882.872781812592
0,-152126.77447436322,-2274544.2725042156,71854.285267651881
0,-151976.95939043231,-2274537.1566165504,72017.630438569729
0,-151827.14480576717,-2274530.2027835939,72201.70413145679
0,-151677.33179248584,-2274523.3876104881,72353.108677351425
0,-151527.53905202131,-2274516.2712780265,72431.467531427857
0,-151377.78687319669,-2274508.3924308089,72501.845025245711
0,-151228.0773205146,-2274499.7292403351,72534.612107477908
0,-151078.41360006796,-2274490.2693121647,72624.381562088369
0,-150928.80389973897,-2274480.0460652695,72729.179080387505
0,-150779.25112877981,-2274469.034335461,72797.138224558657
0,-150629.75845428076,-2274457.2076586462,72847.023722165628
0,-150480.33523886287,-2274444.522172593,72913.863067044775
0,-150330.98478210217,-2274430.9692117735,72951.672579518854
0,-150181.70881683586,-2274416.5480178553,72930.907212549093
0,-150032.46869710513,-2274401.7015451565,72890.504700239064
0,-149883.21590209703,-2274386.9619594919,72843.900845171825
0,-149733.94857034268,-2274372.3438094272,72863.182685561638
0,-149584.66405305566,-2274357.8733346728,72983.090365380092
0,-149435.35420080571,-2274343.6587450663,73114.724907474287
0,-149286.01727243801,-2274329.7120210016,73254.351399678213
0,-149136.65156939876,-2274316.0448641633,73436.056376433204
0,-148987.25377688516,-2274302.7290435899,73649.6701596005
0,-148837.82190872653,-2274289.7918272414,73857.402424734944
0,-148688.3545594156,-2274277.2408715542,74029.183038784628
0,-148538.83757878336,-2274265.3286299487,74175.195608176742
0,-148389.2500591104,-2274254.4102411848,74283.272734192171
0,-148239.58863550739,-2274244.4962388184,74355.642027057111
0,-148089.85115665724,-2274235.6748857205,74402.371627537359
0,-147940.04795731261,-2274228.5626757219,74436.121724738652
0,-147790.1768226756,-2274223.1811706452,74479.591766577272
0,-147640.23552111731,-2274219.5608683885,74565.750583937726
0,-147490.27028276416,-2274216.7342824652,74725.822557523396
0,-147340.29781175582,-2274214.3570547393,74919.861807661684
0,-147190.31741193935,-2274212.4477634099,75106.522918627743
0,-147040.33334938594,-2274210.7665510387,75274.736045052181
0,-146890.35300618064,-2274208.9246826903,75395.739019863438
0,-146740.37671257541,-2274206.913503312,75528.942423372951
0,-146590.40558657612,-2274204.7003289512,75695.857347170007
0,-146440.45150102102,-2274201.926760531,75826.926009860777
0,-146290.51639955217,-2274198.5553513924,75966.434725644009
0,-146140.60270648851,-2274194.5426640725,76151.724991852272
0,-145990.73587307951,-2274189.3507384001,76380.045915925977
0,-145840.92700105504,-2274182.7623945796,76636.541019442913
0,-145691.17912206825,-2274174.7461166577,76874.733770825536
0,-145541.48106689099,-2274165.6658174214,77117.190702891894
0,-145391.81146402014,-2274156.1207428654,77332.788557370412
0,-145242.16954347142,-2274146.1242398866,77518.780943691105
0,-145092.55275983017,-2274135.7205401254,77710.361944765333
0,-144942.93084320222,-2274125.4396391045,77923.562319246994
0,-144793.30373148562,-2274115.2773835314,78155.360124688377
0,-144643.67136856247,-2274105.2295807619,78399.465085046395
0,-144493.99807271667,-2274095.9551572246,78656.816048232373
0,-144344.26520899698,-2274087.7617006497,78921.552626482604
0,-144194.46806138847,-2274080.6961582359,79180.230768320456
0,-144044.62344802805,-2274074.5358351921,79419.620500971228
0,-143894.76530726461,-2274068.8482555081,79630.489766122075
0,-143744.89273088699,-2274063.6460185265,79805.892874715821
0,-143595.00551440561,-2274058.9196854066,80079.921913421509
0,-143445.12329667472,-2274054.013120478,80014.704550334704
0,-143295.2462299492,-2274048.9233056176,79941.267576683909
0,-143145.37446788864,-2274043.6473626499,79933.082499552766
0,-142995.51758402222,-2274037.9957410358,79980.04269436661
0,-142845.68034984113,-2274031.8786808643,80192.160144335125
0,-142695.86363351697,-2274025.2853958635,80491.90570495218
0,-142546.05821629553,-2274018.4294608599,81127.730927934201
0,-142396.24624400493,-2274011.7050448144,81642.888390855398
0,-142246.42719092179,-2274005.1175848125,82098.703070487216
0,-142096.6003425316,-2273998.6787901311,82520.54987294256
0,-141946.75681757528,-2273992.6558343642,82926.723446457385
0,-141796.89546039508,-2273987.0648983768,83205.738628466308
0,-141647.01515854214,-2273981.9221749119,83330.530769258927
0,-141497.11757816363,-2273977.7246017409,83355.05911795047
0,-141347.20248258518,-2273974.7161474032,83326.254395198688
0,-141197.26854967017,-2273972.9289759775,83283.013953261441
0,-141047.3247529215,-2273972.2774777007,83266.664756400874
0,-140897.38919281907,-2273972.5737406723,83334.51302646118
0,-140747.4621310106,-2273973.8546036119,83564.388176861496
0,-140597.54444267377,-2273976.1552009573,83788.331805178605
0,-140447.65272552366,-2273979.2402014956,84390.278436437322
0,-140297.78910653622,-2273983.160586731,84735.66190390366
0,-140147.95617171802,-2273987.9728704528,84835.543994392938
0,-139998.12468364779,-2273993.1863600011,84695.349816485686
0,-139848.27869949152,-2273998.5341189406,84450.89495106331
0,-139698.41636628381,-2274003.9882621556,84152.943946296771
0,-139548.54114573775,-2274009.5320302537,84051.9086275101
0,-139398.66194221703,-2274015.162207901,83873.932572417747
0,-139248.77742709831,-2274020.8473827359,83849.513485423173
0,-139098.88634018626,-2274026.5561831715,83960.926380139776
0,-138949.00541436402,-2274032.5150279584,84226.05120050085
0,-138799.13467829721,-2274038.7242057975,84525.016091111829
0,-138649.27416008463,-2274045.183959886,84816.165966193366
0,-138499.40555867463,-2274051.4239579262,85091.193544642796
0,-138349.52005965094,-2274057.219248489,85253.068965769373
0,-138199.6177853999,-2274062.5745243412,85218.692126617301
0,-138049.72464231725,-2274068.0561718051,84934.176387821703
0,-137899.89272138177,-2274074.7946547735,84385.326972177281
0,-137750.12392295329,-2274082.8218530854,83570.994941148892
0,-137600.42044677245,-2274092.1733562597,82486.225086864724
0,-137450.81097220615,-2274102.7731372444,82029.970247598321
0,-137301.29737734815,-2274114.6365699554,81378.349672908458
0,-137151.88152130146,-2274127.7770204991,80850.874394125611
0,-137002.48109055197,-2274141.1363403969,80507.896184273093
0,-136853.05310155559,-2274154.1698230687,80344.412875229013
0,-136703.59826203994,-2274166.8909456525,80319.439732816594
0,-136554.09879688543,-2274179.0167011037,80347.392898348393
0,-136404.51400443801,-2274189.9098014268,80432.23446204717
0,-136254.84387313385,-2274199.590339825,80510.072725220176
0,-136105.08852317135,-2274208.076644606,80493.450968224075
0,-135955.38001726737,-2274217.3020283459,80355.382093112814
0,-135805.72394317039,-2274227.3402898107,80112.991409172944
0,-135656.12163751133,-2274238.2018403341,79822.488570569592
0,-135506.65047111173,-2274250.5490573584,79557.434733281363
0,-135357.35800729253,-2274264.7786035975,79324.763566837646
0,-135208.24096932687,-2274280.8365721679,79146.534351097682
0,-135059.27864936175,-2274298.4321485632,79046.981972445574
0,-134910.42349478469,-2274316.8731721896,79036.024180781402
0,-134761.68142336368,-2274336.2019042172,79113.885381102504
0,-134613.05898882923,-2274356.4652774283,79239.015975460905
0,-134464.46231940234,-2274376.8598737763,79411.197783209238
0,-134315.90309349174,-2274397.4402782856,79596.988687917023
0,-134167.40370311384,-2274418.3471111874,79730.3570568461
0,-134018.92590419619,-2274439.3910952359,79782.449751682754
0,-133870.40513900973,-2274460.203653302,79740.315808198196
0,-133721.81496053521,-2274480.6139014796,79615.157261794695
0,-133573.10381108572,-2274500.1516398615,79419.46980234074
0,-133424.15440234941,-2274517.4894269276,79165.083703266195
0,-133274.96955347087,-2274532.6682506162,78862.915205552679
0,-133125.55155056276,-2274545.7214804804,78554.130939305818
0,-132976.04903299862,-2274557.8240132187,78270.429786465073
0,-132826.49051406779,-2274569.2008593529,78032.470659910294
0,-132676.87490702831,-2274579.8446739004,77895.377199952447
0,-132527.26258941009,-2274590.5278888531,77888.928116020703
0,-132377.71890781776,-2274602.0767833018,77988.333529181211
0,-132228.24601999749,-2274614.5119382264,78170.752670062735
0,-132078.84808128135,-2274627.8516954258,78217.369824529262
0,-131929.53818225188,-2274642.0926540284,78161.071288345993
0,-131780.31940309392,-2274657.2567463899,78069.989847333927
0,-131631.19499134214,-2274673.3664155742,77974.434517996735
0,-131482.12306883343,-2274689.9827987766,77965.636951201101
0,-131333.08451071463,-2274706.914741226,77938.769704043007
0,-131184.07012029097,-2274724.0743563436,78046.71386387122
0,-131035.15597023354,-2274741.999635722,78277.518669409415
0,-130886.45093003647,-2274761.4851724524,78522.744382342673
0,-130737.95411303864,-2274782.5295686023,78787.109654750995
0,-130589.63029042803,-2274804.8789750682,79040.962412314679
0,-130441.21347777588,-2274826.5853207777,79256.708413366461
0,-130292.71724155864,-2274847.7442134689,79403.19767216238
0,-130144.15501644906,-2274868.4503228678,79468.475660409531
0,-129995.35951255349,-2274886.7988576167,79554.150644885114
0,-129846.26852520532,-2274902.1243872871,79336.799735318724
0,-129696.88898191758,-2274914.5337573811,79155.179976694417
0,-129547.33670018616,-2274925.2519786675,79222.043965777615
0,-129397.81467687155,-2274936.3824962298,79200.183100216629
0,-129248.32369128063,-2274947.9297017395,79363.887479044148
0,-129098.86390025694,-2274959.891362506,79665.05185369456
0,-128949.37722717281,-2274971.6917547453,80134.265427295177
0,-128799.85540940643,-2274983.2443602597,80709.41511589587
0,-128650.29009782386,-2274994.46164012,81289.50006290595
0,-128500.77823471378,-2275006.3528060364,81782.698696525229
0,-128351.3735359031,-2275019.4697660301,82054.033599931237
0,-128202.07923676576,-2275033.8356703809,82259.736912746972
0,-128053.0785104324,-2275050.4845098946,82379.214898363018
0,-127904.76099299904,-2275071.6040947796,82340.928472568936
0,-127757.13820879885,-2275097.2456312734,82202.658630918653
0,-127610.22063148819,-2275127.4419886246,81992.238602683545
0,-127463.15167393825,-2275156.8925330299,81788.100905613377
0,-127315.85882048142,-2275185.176630035,81617.806837043521
0,-127168.31317736537,-2275212.1428096811,81538.760714641379
0,-127020.6539501154,-2275238.5244032498,81633.202679850321
0,-126873.02034888194,-2275265.0554117118,81588.447549273682
0,-126725.43413460301,-2275291.8519712356,81711.432587333373
0,-126577.93247595409,-2275319.1038758224,81972.161825972144
0,-126430.63607520872,-2275347.4017605423,81930.664974239015
0,-126283.55309480692,-2275376.7846116172,81836.743512347399
0,-126136.69224825731,-2275407.2940156185,81707.173419521409
0,-125989.97275773434,-2275438.4801078327,81603.551593964527
0,-125843.35205722896,-2275470.123306335,81606.188900603709
0,-125696.80977650949,-2275502.1295022559,81785.877666494591
0,-125550.23190113355,-2275533.9610829107,81994.433555893687
0,-125403.44928665586,-2275564.8129088795,82168.249175837307
0,-125256.46248547106,-2275594.6808609655,82302.6903048604
0,-125109.27201569009,-2275623.5608904865,82434.242999756985
0,-124961.65110423112,-2275649.8695696248,82505.898805056699
0,-124813.6013186279,-2275673.5929794754,82489.52449276112
0,-124665.13235494943,-2275694.7772447467,82391.187225238958
0,-124516.30920279204,-2275713.0844811453,82260.798185416075
0,-124367.17933072578,-2275728.3125642776,82106.091838022752
0,-124217.74506726059,-2275740.5274436958,81950.981002338434
0,-124068.08975942503,-2275750.6327390466,81803.137941567897
0,-123918.51689251055,-2275761.8280538199,81672.00108684093
0,-123769.03631854059,-2275774.1614518464,81601.447120506578
0,-123619.65203302879,-2275787.6598628205,81611.5013246038
0,-123470.38180258154,-2275802.2793107769,81679.735182503646
0,-123321.23296408517,-2275818.035703124,81783.348004729647
0,-123172.21136292563,-2275834.9560875669,81865.090138401414
0,-123023.20070867377,-2275851.9017602978,81936.775517797229
0,-122874.08853482064,-2275867.8202311974,82017.720354381265
0,-122724.87123428055,-2275882.7111786683,82175.75395363399
0,-122575.56127018301,-2275896.6999985678,82283.311525664671
0,-122426.23648773058,-2275910.4252769258,82321.298756412114
0,-122276.89792265859,-2275923.9067194732,82313.776050819113
0,-122127.54662591938,-2275937.1641251906,82309.263962927871
0,-121978.3401521679,-2275951.7574864426,82285.934943169123
0,-121829.32266510747,-2275968.0725994394,82255.238026579565
0,-121680.50631273273,-2275986.1647684467,82235.385588451376
0,-121531.75233099659,-2276004.7464915826,82225.763177770466
0,-121382.8866649432,-2276022.3073390541,82242.700443744063
0,-121233.9011574013,-2276038.8360442347,82310.574881889814
0,-121084.79079852899,-2276054.3067838741,82424.669740885627
0,-120935.56881284293,-2276068.5718686217,82583.471781428627
0,-120786.22415248868,-2276081.5710724466,82762.673012612635
0,-120636.74654769138,-2276093.2457867693,82921.098001130667
0,-120487.19137651756,-2276103.9941533795,83040.250158176219
0,-120337.57354244088,-2276113.9088095352,83158.414761074207
0,-120187.88799052771,-2276122.9398101703,83322.145564106206
0,-120038.1622035856,-2276131.5202368242,83510.04687887746
0,-119888.43921806113,-2276140.2873230088,83707.757213748933
0,-119738.71773202042,-2276149.2066800981,83908.023529523271
0,-119588.99507532766,-2276158.2118694335,84086.754380260332
0,-119439.25428034364,-2276166.9086602931,84220.618161600985
0,-119289.49459522883,-2276175.2875502636,84313.407118600924
0,-119139.71529270773,-2276183.3392862915,84357.419821815027
0,-118989.9177564868,-2276191.0381523152,84360.898231940257
0,-118840.10230820678,-2276198.3752447926,84310.20008202293
0,-118690.26857319802,-2276205.3484112197,84208.489514090048
0,-118540.42150481312,-2276212.0476734522,84044.519106624881
0,-118390.56900246954,-2276218.6162155848,83818.300632090511
0,-118240.71107107961,-2276225.0611990662,83558.301321911858
0,-118090.84666818671,-2276231.3575576982,83293.562657842398
0,-117940.95952696417,-2276237.0159998019,83043.099314892766
0,-117791.04876176298,-2276242.01983249,82804.392055252072
0,-117641.11355277606,-2276246.3527022479,82570.297024017724
0,-117491.16731086744,-2276250.3397206049,82353.316368360494
0,-117341.21511467318,-2276254.1023648391,82150.69095063128
0,-117191.25694875031,-2276257.6248197439,81955.773780652307
0,-117041.29750685787,-2276261.0933819031,81771.34973905643
0,-116891.34410929871,-2276264.7968854662,81618.225351329864
0,-116741.39695774626,-2276268.7396261874,81490.36723871404
0,-116591.45604327421,-2276272.9170387438,81355.941277197984
0,-116441.51777368797,-2276277.1819842057,81202.107913266518
0,-116291.58215023944,-2276281.5342214587,81019.745677137995
0,-116141.64917352583,-2276285.9734806721,80793.264147155089
0,-115991.71825997641,-2276290.485384882,80563.039139126631
0,-115841.78893286035,-2276295.0583043527,80275.942532512679
